,symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
185,ASX,False,-4.25,7.0886,4.24,149869
186,AWI,False,-4.9935,4.3234,95.02,172931
187,ARR,True,-3.9017,2.3188,17.23,292545
188,ASGN,False,-3.2038,4.2771,61.74,123447
189,ASA,False,-4.9035,4.8183,12.84,37700
190,ABG,False,-1.6955,5.6089,92.45,39416
191,AHT,False,-6.1372,7.0039,2.98,625883
192,ASH,False,-2.8938,2.1968,74.06,143597
193,ASB,True,-4.0148,2.9894,19.86,365418
194,ASPN,False,-6.3636,8.3587,6.75,2395
195,AC,False,-3.6206,6.1897,36.34,515
196,AIZ,True,-3.0752,7.5344,122.53,247206
197,AGO,True,-2.5122,6.9305,45.13,273642
198,AIZP,False,-1.8812,5.2775,123.36,313
199,HOME,False,-8.1081,14.9533,4.86,1472318
200,TBC,False,-1.1144,0.8531,27.0,27019
201,T,True,-2.073,3.5837,34.86,16814240
202,AZN,True,-2.5006,5.7249,44.86,1324446
203,TBB,False,-1.2495,0.98,26.58,32348
204,AT,False,-3.3613,5.2846,2.4,114924
205,ATKR,False,-2.565,7.7922,29.77,113012
206,ATO,True,-3.5671,1.4731,109.09,305553
207,ATTO,False,-6.6946,5.29,2.27,11344
208,AUO,False,-4.5455,2.847,2.31,264373
209,ACB,False,-6.4,10.3393,6.66,5388862
210,ATH,True,-4.0137,3.3537,39.2,488659
211,AVLR,True,-5.4989,11.2078,85.73,393086
212,AZO,False,-3.0289,1.8195,1081.28,107505
213,ATHM,True,-8.0553,5.3439,80.05,345158
214,AN,False,-2.8078,10.8462,48.91,170236
215,AVB,True,-2.7061,1.834,204.2,294677
216,ALV,True,-3.1936,3.4515,67.99,225230
217,AVNS,False,-4.0134,5.8486,36.99,78885
218,AGR,False,-2.1939,2.3364,49.36,189667
219,AVYA,True,-7.8027,12.88,11.8,428882
220,AVH,False,-6.6667,7.5,3.94,14191
221,AVY,True,-3.3516,4.2746,112.73,294187
222,AVA,False,-1.4088,1.4189,46.26,105177
223,AVP,False,-4.1463,5.4688,4.35,2509460
224,EQH,True,-6.0498,3.6174,20.75,956003
225,AXTA,True,-2.6662,13.5941,28.1,651485
226,AVX,False,-4.8514,3.8462,14.27,64962
227,AXS,True,-2.1241,3.7478,64.68,203107
228,AZUL,False,-5.1879,12.4077,40.71,171497
229,AX,False,-6.0048,5.7359,27.66,176025
230,AXO,False,-1.2389,1.0125,25.89,0
231,AZRE,False,-5.0,2.8571,10.31,1136
232,BCSF,False,-3.1721,2.0354,18.09,52152
233,BGS,True,-5.258,11.5642,18.91,443801
234,BW,False,-12.1707,13.8889,3.71,48280
235,BGH,False,-2.0914,1.1878,17.78,31264
236,BMI,False,-9.4346,2.3579,54.53,71409
237,AZZ,False,-3.6431,5.987,42.74,63436
238,BLL,True,-1.9805,4.5607,79.29,1073991
239,BBN,False,-0.5065,1.1029,24.88,58663
240,BBVA,False,-3.8384,2.2684,4.85,1631825
241,BANC,False,-4.4786,6.0274,14.67,95154
242,BHGE,True,-4.7091,4.4597,23.57,1584480
243,BBDO,False,-7.0015,5.8356,7.66,560
244,BLX,False,-4.4244,4.4218,19.98,39483
245,BSAC,False,-3.2574,1.9629,28.47,89352
246,BCH,False,-2.5806,3.4596,29.39,10940
247,BBD,False,-5.848,4.065,8.57,4913599
248,SAN,False,-3.386,2.9478,3.97,3487956
249,BSBR,True,-3.8567,3.9595,10.98,406051
250,BSMX,False,-3.5088,3.2653,6.64,503449
251,CIB,False,-4.6454,4.8717,51.48,88476
252,BXS,False,-3.9813,3.0601,27.69,146321
253,BAC,True,-4.4248,2.8004,27.72,26642292
254,BOH,False,-2.7801,2.1795,82.91,105464
255,NTB,False,-3.959,1.6341,26.92,77278
256,BK,True,-3.3685,2.3428,43.67,2516569
257,BMO,False,-1.7498,1.2396,71.6,153396
258,BNS,True,-1.6727,1.1182,52.21,330574
259,MCI,False,-2.1739,1.697,16.17,2975
260,BCS,False,-3.7889,1.671,6.8,1022921
261,BKU,True,-4.4173,9.195,31.76,217550
262,BBDC,False,-1.7804,2.3279,9.65,34647
263,B,False,-5.03,2.6501,44.98,65928
264,BKS,False,-2.0896,1.5198,6.49,427095
265,GOLD,True,-4.9461,5.663,18.11,10343184
266,MPV,False,-3.5714,3.9766,16.2,52
267,BAS,False,-16.4609,10.6599,1.5,120259
268,BNED,False,-7.3746,14.3312,2.91,179553
269,BAX,True,-3.294,2.93,88.18,1072910
270,BHC,True,-4.2135,6.2063,22.69,1198521
271,BTE,False,-4.9645,8.3333,1.4,698686
272,BBT,True,-4.0122,2.8002,46.73,2586415
273,BBX,False,-4.6875,7.5221,3.94,32225
274,BCE,True,-1.1179,1.7956,46.6,481790
275,BZH,False,-4.3706,4.6667,11.75,221310
276,BDXA,False,-4.5744,2.3569,61.91,12745
277,BDX,True,-4.966,2.8878,253.34,538778
278,BDC,True,-19.2253,2.9927,44.86,190883
279,BRK.A,False,-2.6846,1.7844,299510.0,110
280,BRK.B,True,-2.5507,1.6834,198.78,1977839
281,BHLB,False,-4.1768,4.6333,29.92,91248
282,BERY,True,-14.9484,2.6501,41.08,672554
283,BBY,True,-10.7932,6.07,71.29,1186846
284,BHE,False,-2.9477,3.4496,26.47,96129
285,BHP,True,-3.9369,2.7712,50.65,708706
286,BBL,True,-4.5068,2.9479,44.02,463663
287,BIG,True,-7.686,4.0926,21.86,437774
288,BH.A,False,-6.3493,6.7416,519.97,3
289,BIO.B,False,-5.1605,7.0587,325.79,0
290,BH,False,-5.1321,7.4007,100.6,3948
291,BHVN,True,-23.6053,7.5259,38.83,406864
292,BIO,False,-5.119,8.2579,326.25,65954
293,BITA,True,-5.7692,9.0476,11.31,227693
294,BKH,False,-4.1667,1.6467,76.53,150347
295,BJ,True,-5.601,3.2482,22.05,783108
296,BKI,True,-2.9838,2.6848,61.38,278469
297,BSM,False,-3.2832,3.3239,14.42,54743
298,BGIO,False,-1.2061,2.4168,9.52,3224
299,BB,False,-8.8058,3.3675,7.0,1937775
300,CII,False,-2.5173,1.6753,15.71,49284
301,BHK,False,-0.8505,1.0616,14.45,51545
302,BFZ,False,-0.3774,0.6061,13.81,35972
303,HYT,False,-1.4138,1.0446,10.51,163650
304,BTZ,False,-1.0622,1.6104,13.64,66274
305,EGF,False,-0.4262,0.6816,13.17,0
306,FRA,False,-0.7788,0.5102,12.66,31758
307,DSU,False,-1.3636,0.5576,10.87,30793
308,BFO,False,-0.416,0.4177,14.4,4
309,BGR,False,-3.2817,2.3458,10.63,41057
310,BDJ,False,-2.2173,2.6136,8.98,190745
311,BOE,False,-1.7258,1.0742,10.31,98932
312,BME,False,-2.0886,1.9015,38.78,11919
313,BGT,False,-0.5596,0.6515,12.38,26714
314,BAF,False,-1.0991,0.9155,14.35,6854
315,BGY,False,-2.0036,1.28,5.47,67985
316,BKN,False,-0.6386,0.9753,15.84,7081
317,BKT,False,-0.6623,1.1686,6.14,40466
318,BIT,False,-1.5455,1.2153,17.13,49817
319,BTA,False,-2.5437,1.9576,12.99,16383
320,MHE,False,-1.926,0.9914,13.05,0
321,BZM,False,-3.1348,2.5381,14.43,2
322,MUI,False,-0.7143,1.4873,14.47,25191
323,MNE,False,-1.7253,2.4527,14.73,102
324,MUA,False,-1.6822,2.2951,15.17,16519
325,BKK,False,-0.1988,0.2663,15.07,2610
326,BBF,False,-1.6667,1.8118,14.13,4107
327,BYM,False,-0.6329,1.0909,14.18,12787
328,BLE,False,-1.3115,1.265,14.97,17121
329,BFK,False,-0.6466,0.7102,14.29,25383
330,BBK,False,-0.538,0.7185,15.5,5717
331,MEN,False,-0.805,0.9074,11.43,18316
332,MUC,False,-0.366,0.7857,14.27,29633
333,MUH,False,-0.6545,1.0506,15.61,5160
334,BTT,False,-0.6421,1.1069,23.9,38980
335,MFL,False,-0.5263,0.6657,13.63,24812
336,MUE,False,-0.468,1.1218,12.91,4812
337,MUS,False,-0.4695,0.7886,12.77,4361
338,MVT,False,-1.63,1.4047,15.37,3354
339,MUJ,False,-1.0936,0.9028,14.62,11077
340,MYC,False,-1.0684,0.9339,14.54,19765
341,MHN,False,-0.5311,0.8778,13.8,11499
342,MHD,False,-2.5424,3.4483,16.84,3064
343,MCA,False,-0.8451,0.4141,14.54,23926
344,MYF,False,-1.0898,1.654,14.59,4791
345,MFT,False,-0.9538,1.5184,13.7,1730
346,MYD,False,-1.0688,0.823,14.99,24810
347,MYJ,False,-1.16,1.2242,15.53,14945
348,MIY,False,-0.8293,0.7785,14.42,7125
349,MPA,False,-0.9009,0.8602,14.39,5464
350,MYN,False,-0.7048,1.0109,13.2,23457
351,MQT,False,-0.7171,0.8045,13.01,18771
352,BQH,False,-0.9492,1.0309,14.91,186
353,MYI,False,-0.5319,0.6006,13.63,51248
354,MQY,False,-0.7586,0.8169,15.1,16520
355,BST,False,-3.3344,2.7211,33.15,46830
356,BFY,False,-0.784,1.5511,14.45,1069
357,BNY,False,-1.7341,2.2157,14.25,2638
358,BUI,False,-1.1649,2.0601,24.0,10193
359,BSE,False,-0.9804,1.0355,13.67,1157
360,BSD,False,-0.8076,1.8401,14.36,6978
361,BCX,False,-2.6008,1.8843,7.49,125993
362,BHV,False,-2.23,1.9017,16.15,0
363,BE,False,-73.91,6.1206,4.6,546178
364,BGB,False,-1.4085,1.0922,14.56,64625
365,BLK,True,-3.7705,2.3365,425.33,343881
366,APRN,False,-12.9584,35.5091,8.02,181027
367,BSL,False,-2.1338,1.7272,17.09,14121
368,BCRH,False,-4.2029,16.5414,8.2,1290
369,BXG,False,-5.4945,6.101,9.66,23958
370,BXC,False,-6.5014,8.5543,25.67,42206
371,BGX,False,-2.4002,1.9924,15.79,18347
372,BCC,False,-4.2017,5.9039,29.2,141667
373,BCEI,False,-5.367,7.3306,22.7,113739
374,BOOT,True,-7.6007,4.89,31.26,226208
375,BA,True,-3.6909,5.3705,332.86,2164921
376,BWA,True,-4.4962,4.2521,33.24,762672
377,SAM,False,-2.7515,4.2414,409.7,78003
378,BXP,True,-2.169,1.8915,127.28,291671
379,BSX,True,-3.2515,2.5042,42.86,3449020
380,BOX,True,-4.8906,1.7576,13.58,657492
381,BAH,True,-2.6698,3.3815,72.2,465749
382,BYD,True,-5.1897,3.9821,23.66,414814
383,BP,True,-2.3129,2.3024,37.2,2949479
384,BPMP,False,-3.6059,2.4853,14.58,62312
385,BRC,False,-3.1571,2.6838,49.86,99025
386,BHR,False,-4.1667,4.8724,9.08,60782
387,BPT,False,-17.2288,13.1961,8.95,108806
388,BWG,False,-0.6751,0.7614,12.0,18988
389,BRFS,False,-2.8384,9.2105,9.77,1751323
390,BGG,False,-4.4395,3.0197,8.69,198302
391,BFAM,False,-1.8257,3.5411,155.96,102021
392,BEDU,False,-9.2184,8.0574,9.3,16008
393,BSA,False,-1.5905,2.2907,24.46,1956
394,LND,False,-3.3683,4.0548,4.22,327
395,BDN,True,-3.3379,2.0337,14.51,527040
396,BV,False,-11.5123,7.6878,18.5,99432
397,EAT,True,-4.3564,3.7677,38.64,492913
398,BMY,True,-7.4179,5.0197,46.49,6121531
399,BR,True,-5.2063,2.1278,126.75,327943
400,BSIG,False,-6.6355,2.7003,8.92,168366
401,BRX,True,-2.4494,2.0844,19.0,1336211
402,BCO,True,-7.1532,5.2179,82.1,190148
403,BKD,False,-3.1662,6.1308,8.13,683217
404,BTI,True,-4.3767,6.8861,36.77,849547
405,BF.A,False,-3.2538,3.2725,55.18,7724
406,BIP,False,-1.752,1.21,44.6,133417
407,BAM,True,-2.5908,1.822,51.03,673165
408,BEP,False,-1.2623,1.7241,35.79,80793
409,INF,False,-2.381,2.2394,13.05,22713
410,RA,False,-1.3587,0.6407,22.02,55459
411,BBU,False,-5.7953,3.6,36.41,5179
412,BRT,False,-9.3418,9.2807,14.34,6573
413,BRO,True,-1.8993,2.6551,36.5,547085
414,BF.B,True,-2.9701,2.5551,55.9,397869
415,BT,True,-6.7826,1.8581,10.57,454626
416,BVN,True,-8.2333,5.8191,14.63,315612
417,BPL,True,-1.7548,0.8395,40.95,247463
418,BC,True,-5.0744,4.9309,46.66,303706
419,BKE,True,-12.9406,13.1138,17.92,292716
420,BURL,True,-3.1628,3.6,174.44,344959
421,BG,True,-6.7459,3.6728,53.47,373911
422,CABO,False,-1.9409,4.5528,1261.41,14097
423,CJ,False,-7.7697,20.5556,9.45,288949
424,PFH,False,-9.8637,4.0987,6.47,0
425,BBW,False,-7.1809,3.8674,3.68,37974
426,BY,False,-3.7677,2.694,17.67,33837
427,CBT,False,-4.9642,3.6082,38.99,155940
428,CACI,False,-2.9667,2.8296,211.04,124361
429,COG,True,-12.0698,2.2155,16.99,2900885
430,BWXT,False,-4.4148,14.6817,56.31,120622
431,WHD,True,-5.8684,6.3423,27.79,210732
432,CAE,False,-2.0603,2.5974,27.07,98822
433,CADE,True,-19.1229,3.2701,15.47,402441
434,CAL,True,-11.4483,5.53,15.38,296141
435,CRC,True,-15.4684,9.8431,10.92,856539
436,CWT,False,-3.3595,2.6908,53.83,87388
437,CAI,False,-5.9155,4.1902,18.91,45031
438,CPE,False,-15.9375,10.6236,4.57,2199500
439,ELY,True,-4.2485,7.3546,18.43,517285
440,CALX,False,-13.8356,3.8898,5.88,109821
441,CBM,False,-3.7933,47.1309,60.1,92761
442,CM,False,-1.8656,1.5497,75.99,127869
443,CWH,False,-16.0886,5.283,8.4,219636
444,CCJ,False,-7.9279,4.3233,8.47,746788
445,CPB,True,-2.6689,2.5344,42.26,1022808
446,GOOS,True,-5.295,4.4609,43.21,409820
447,CANG,False,-12.798,15.24,6.02,0
448,CNI,True,-2.7711,3.1415,93.8,309590
449,CP,False,-1.8961,3.9245,239.84,175740
450,CNQ,True,-3.6625,3.1646,24.03,1048869
451,CNNE,False,-2.8174,4.8154,29.65,76521
452,CGC,True,-8.1217,4.907,34.2,1721897
453,COF,True,-5.8915,2.8565,87.21,1107026
454,CMD,False,-3.678,10.9219,90.46,100073
455,CPT,False,-2.2434,1.956,105.49,150467
456,CAJ,False,-4.0587,1.5141,26.3,96170
457,CIC,False,-5.8885,4.5035,9.05,13725
458,CSU,False,-11.1111,11.7241,4.39,74220
459,BXMT,True,-2.0688,1.3765,35.35,401557
460,CMO,False,-3.7199,2.9308,8.19,239408
461,CRR,False,-12.1951,14.2857,1.38,84984
462,CAH,True,-5.7739,2.6667,44.67,1385758
463,CRCM,False,-24.364,7.6326,9.33,256511
464,CPRI,True,-5.1698,3.9031,30.35,1154288
465,KMX,True,-3.8756,3.2327,85.39,884738
466,CUK,True,-8.6107,2.7607,44.47,198608
467,CRS,False,-5.0538,5.1879,48.24,82073
468,CSV,False,-2.9443,16.841,21.85,11729
469,CSL,True,-2.9471,5.7279,143.21,196419
470,CRI,True,-5.6439,7.7618,89.15,344104
471,CARS,False,-34.4789,6.143,9.51,292451
472,CSLT,False,-46.5116,8.3893,1.5,124585
473,CVNA,True,-8.3072,25.1425,80.43,512048
474,CCL,True,-7.6457,2.439,45.94,2466960
475,CTLT,True,-3.1649,5.887,56.66,293666
476,CAT,True,-4.4823,3.2846,119.01,2538551
477,CATO,False,-4.5233,5.3191,13.52,91864
478,CBL,False,-13.2364,8.163,0.8893,717912
479,CBZ,False,-1.9926,3.2226,23.38,58487
480,CBRE,True,-5.0832,2.8108,52.87,622205
481,CBS,True,-3.7584,3.3347,48.7,1376147
482,CBS.A,False,-3.1604,3.95,50.89,620
483,FUN,False,-3.0206,3.6217,52.02,108189
484,IGR,False,-2.2457,1.0811,7.6,130594
485,CDR,False,-6.993,7.3359,2.47,148523
486,CX,False,-6.3084,2.1898,3.02,1951630
487,CVE,False,-4.3035,4.162,8.72,1104014
488,CNC,True,-4.8067,3.925,49.73,2340102
489,CE,True,-3.6688,4.3812,111.0,428513
490,CEL,False,-8.209,7.3171,2.5,2381
491,CPAC,False,-5.7447,5.3892,8.7,8
492,CNP,True,-2.9143,1.7901,28.0,2081108
493,CLS,False,-3.1294,4.5317,6.69,112755
494,EBR.B,False,-8.9172,5.4264,10.24,34
495,EBR,False,-4.5759,5.692,10.9,114687
496,CCS,False,-4.8338,5.2408,27.67,92906
497,CEN,False,-2.9225,1.8996,7.11,166597
498,CHAP,False,-14.1079,8.1841,1.99,171450
499,CEPU,False,-55.9152,7.049,3.74,112085
500,CTL,True,-7.5993,6.6911,11.48,5795443
501,CHRA,False,-6.6922,6.7623,5.3,5286
502,CF,True,-4.2124,5.6295,48.77,641172
503,GIB,False,-3.0742,1.4013,77.06,56791
504,CDAY,True,-4.7224,3.7321,53.48,354322
505,CLDT,False,-5.2017,1.8624,17.07,104644
506,CRL,False,-4.9654,4.1499,130.82,174358
507,CHE,False,-1.6247,3.2803,428.44,47430
508,CC,True,-19.1079,5.478,12.6,1073212
509,CHGG,True,-5.0366,8.8984,41.72,595940
510,CMCM,False,-5.4201,5.1491,3.11,94600
511,CHK,False,-10.8974,9.7561,1.45,20545586
512,CHMI,False,-3.6962,1.5007,13.81,109586
513,CPK,False,-3.3323,2.3376,92.71,50636
514,CVX,True,-1.9251,3.4677,122.39,2725825
515,CHS,False,-7.837,7.5342,3.23,1064603
516,CHKR,False,-3.7736,4.1096,1.0,17921
517,CHSP,False,-2.2778,1.701,26.18,116106
518,CIM,True,-2.001,1.9372,19.75,709925
519,CEA,False,-8.5988,6.1246,24.11,1523
520,CGA,False,-7.7036,3.6606,3.65,683
521,CHN,False,-3.7321,2.5351,18.87,1176
522,LFC,False,-4.8741,4.01,11.61,165015
523,CHL,True,-3.5096,2.0489,40.5,331991
524,DL,False,-5.4435,3.7182,4.47,458
525,COE,False,-6.9174,6.9355,5.9,0
526,XRF,False,-9.0358,18.2573,0.57,51114
527,ZNH,False,-7.7122,6.5432,29.14,13275
528,CHU,False,-4.4838,1.784,9.23,157419
529,CMG,True,-2.2931,5.1866,816.96,227764
530,CHH,False,-3.8193,5.4955,90.48,116894
531,SNP,False,-2.899,2.3994,59.9,77309
532,CB,True,-2.6103,3.2984,158.83,820063
