symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
EBF,False,-2.51,2.1522,19.95,49988
ESV,False,-6.399,16.315,8.19,3737604
ETM,False,-36.0,8.52,3.64,439491
EAE,False,-1.1968,0.7631,25.57,1560
EAB,False,-1.7628,1.8846,26.43,1352
ETR,True,-1.696,1.675,107.82,901771
EAI,False,-1.1103,1.2242,25.84,10771
NPO,False,-4.3563,10.846,63.93,93263
ELJ,False,-1.2678,0.3918,25.58,3633
ENJ,False,-0.9184,0.9803,25.42,0
EZT,False,-0.1169,0.8478,27.83,108
EMP,False,-1.0254,1.0695,26.26,5173
ELC,False,-1.2615,1.1324,25.89,9248
ENO,False,-0.9362,0.92,27.04,1835
EVC,False,-11.6719,3.5948,2.75,164269
EPD,True,-2.5856,2.4498,28.4,1987694
ENV,True,-5.6156,1.4139,57.83,193073
EVA,False,-1.9016,2.1056,30.15,18307
ELU,False,-0.9386,0.67,25.46,1530
ENZ,False,-7.6923,9.1413,3.79,67926
EOG,True,-5.5679,3.6235,78.52,1849387
EPAM,False,-6.0959,5.7206,189.61,142856
EPR,True,-1.7068,2.5948,76.11,229263
ETRN,True,-7.687,2.8787,13.68,2252915
EQNR,True,-4.3226,3.08,17.18,911937
EQT,True,-9.1992,8.0586,12.3,3472040
EQC,True,-1.6475,1.7544,34.11,220371
EFX,True,-3.2759,3.4523,142.76,586860
EQM,True,-4.7791,3.5334,31.56,324657
EROS,False,-8.7248,5.1471,1.36,1207153
ESNT,True,-2.5764,2.4526,46.39,273366
EQS,False,-5.4206,4.8886,1.69,0
EQR,True,-2.8579,1.4048,80.89,802678
ESE,False,-6.1727,2.6325,76.31,84021
ERA,False,-2.2297,16.8743,10.46,48932
EPRT,True,-3.0404,2.5121,21.85,617514
ELS,True,-1.4069,1.9039,132.63,224562
EB,True,-6.8516,4.3556,17.2,318412
ESS,True,-3.5921,1.8319,313.31,237353
ETH,False,-10.6414,1.77,18.12,92562
EL,True,-4.1932,2.8643,180.79,686071
EEA,False,-1.8066,2.0202,8.56,3
EURN,False,-4.6398,2.0487,7.54,181257
EVR,True,-5.0596,3.5133,78.58,273312
EVRG,True,-0.6904,1.5079,63.74,843091
RE,False,-2.0064,2.3834,252.64,154239
EVRI,True,-11.2511,3.5117,9.49,279017
ES,True,-0.8755,1.1626,77.91,1039044
EVTC,True,-4.453,11.7739,35.53,190123
XAN,False,-1.677,1.1618,11.34,48022
EXPR,False,-9.0909,5.1064,2.07,657408
AQUA,True,-4.1491,10.2583,15.2,186864
EVH,False,-6.4516,14.9485,7.12,603033
FNB,True,-4.0664,3.6082,10.95,992464
EXC,True,-2.1498,1.7785,45.52,4200939
EXTN,False,-7.6522,6.3301,9.84,101009
FDS,True,-3.13,2.5013,279.24,195268
FN,False,-3.3182,5.909,55.06,136022
XOM,True,-2.5551,2.6667,70.49,6961197
EXR,True,-0.601,1.566,119.01,326965
FPAC,False,-1.4493,2.23,10.3,0
SFUN,False,-10.4418,11.2554,1.64,69533
FTCH,True,-44.4932,12.537,12.0,764797
FICO,False,-6.1,4.9485,337.33,113550
FFG,False,-2.6534,2.1122,57.95,6941
AGM,False,-4.2314,5.8237,76.97,18778
FPI,False,-3.5256,9.2334,6.45,67273
AGM.A,False,-4.7891,7.1272,72.01,1
FRT,True,-3.7799,2.1046,132.94,212387
FBK,False,-3.3802,2.5538,36.22,21567
FSS,True,-3.7784,7.8601,30.81,220351
FII,True,-3.501,3.8248,32.78,442619
FMN,False,-0.3974,0.7617,14.01,13348
FDX,True,-4.2339,2.499,160.52,897200
RACE,True,-2.7569,1.73,160.82,176563
FOE,True,-11.4732,3.5159,11.95,350400
FG,False,-5.7669,4.661,7.32,281302
FCAU,True,-4.912,3.8231,13.12,2029473
FGP,False,-9.8694,5.9871,0.6982,98807
FNF,True,-1.0023,1.7895,43.75,850881
FIS,True,-3.2345,3.946,134.85,1972558
FMO,False,-3.75,1.98,9.08,69283
FHN,True,-3.2317,2.5184,15.75,1711590
FCF,False,-4.3573,2.169,12.53,120553
FAF,True,-3.1333,2.284,57.14,304609
FBP,True,-3.5316,2.1694,9.78,1051606
AG,True,-6.3618,5.9656,10.27,3172931
FR,True,-2.025,2.3095,38.47,296773
FDC,True,-1.0108,8.7136,31.69,6213569
FRC,True,-3.6433,1.7643,93.8,572497
FFA,False,-2.7778,1.7397,15.73,20164
FMY,False,-1.9929,1.5907,13.88,404
FDEU,False,-2.6144,1.4937,13.23,21196
FIF,False,-2.3612,1.4445,15.56,30032
FSD,False,-2.2606,0.6032,14.71,25070
FPF,False,-1.9044,1.4712,22.82,77837
FPL,False,-1.9088,1.7817,9.1,45161
FIV,False,-1.5419,0.6742,8.87,35322
FEO,False,-2.4444,0.9002,13.43,3665
FCT,False,-0.8326,0.4143,11.77,33595
FGB,False,-2.0472,1.4286,6.27,25241
FPH,False,-6.0027,3.438,6.83,38994
FAM,False,-0.85,0.754,10.59,6783
FE,True,-1.8305,1.5607,44.18,2392119
DFP,False,-2.2718,1.5299,25.58,26841
FIT,False,-21.1905,3.34,3.29,1864579
FBC,False,-2.3228,3.5574,34.25,102031
PFD,False,-2.947,1.8543,15.25,8020
FFC,False,-1.9656,0.8543,20.13,51430
PFO,False,-2.4096,1.2264,12.29,2605
FTK,False,-29.2096,5.3156,2.04,233941
FND,True,-7.1264,20.9021,45.3,569097
FLC,False,-1.4118,1.9303,21.4,6931
FLS,True,-9.2345,2.3364,43.37,578664
FLR,True,-26.658,2.2949,18.4,882469
FLT,True,-4.1021,8.2046,295.87,337609
FLY,False,-2.1326,1.7699,16.76,51745
FMX,True,-2.9275,1.8013,87.38,192581
FMC,True,-5.0047,4.5819,86.46,507065
FLO,True,-5.363,1.45,22.71,388174
FL,True,-4.189,3.4492,40.1,1762461
F,True,-7.454,2.7086,9.26,22539226
FTS,True,-0.4782,1.0101,40.83,218153
FELP,False,-11.1296,4.524,0.4365,11532
FOR,False,-5.7919,3.6213,19.04,11571
FSM,False,-5.8275,7.4468,3.94,1909826
FBHS,True,-3.6585,2.6395,51.64,627897
FET,False,-14.1221,13.4199,1.6,801779
FTV,True,-4.3862,3.089,70.01,1158168
FTAI,False,-2.381,3.9465,14.95,52443
FBM,False,-3.4829,9.2655,17.94,118738
FEDU,False,-12.9213,14.2012,2.05,1
FCPT,True,-1.2128,1.1918,27.71,197302
FNV,True,-2.9724,3.6047,93.29,269183
FSB,False,-2.5793,3.6879,28.07,34549
FC,False,-4.312,2.7137,37.38,18661
BEN,True,-4.089,0.9821,28.53,1883666
FT,False,-1.8868,1.6506,7.3,29685
FI,False,-6.4912,3.7975,4.5,287328
FCX,True,-4.3551,3.74,9.89,13651832
FDP,False,-3.3611,11.1233,27.54,134873
RESI,False,-4.5183,2.7073,11.15,76848
FMS,False,-6.5109,1.3301,33.5,86950
FSK,False,-1.8836,6.3063,5.8,1099958
FRO,False,-7.0151,4.4379,7.18,235442
FTSI,False,-18.8917,5.6848,2.96,281039
FCN,False,-1.4414,9.7103,104.78,114439
FF,False,-5.3812,4.8893,10.73,59986
GCV,False,-3.3771,1.87,5.35,23666
GDV,False,-3.2063,1.7308,21.06,86066
GAB,False,-2.1452,1.6863,6.1,238017
GGZ,False,-3.7236,2.9823,10.9,2409
GGT,False,-1.9883,4.0146,8.43,39310
GUT,False,-2.6954,2.4931,7.36,52317
GCAP,False,-10.8511,3.6946,4.32,68579
GNT,False,-1.3605,1.9197,5.9,38034
GTX,True,-7.9866,4.0084,11.53,279513
GME,False,-7.7121,2.7431,3.47,2306726
GPS,True,-7.8974,3.2603,17.95,4200462
GDI,True,-5.3382,2.8182,30.57,729479
GBL,False,-3.3031,2.94,18.34,6405
IT,True,-19.0183,2.42,128.56,218637
GLOG,True,-8.5014,4.7244,12.06,206430
GLOP,False,-4.9188,1.7916,18.76,73764
GMTA,False,-1.64,1.6424,26.94,3241
GATX,False,-3.2071,2.4541,74.98,140404
GTES,False,-21.1,3.8426,8.03,242983
GNK,False,-6.6959,5.3794,8.16,135600
GCP,True,-4.1529,2.1005,18.45,195629
GNRC,True,-1.9087,2.9714,73.26,223852
GD,True,-2.8576,2.2063,183.11,563156
GAM,False,-2.7004,1.5616,35.7,21893
GE,True,-3.5827,4.3095,9.35,27015849
GM,True,-1.9356,2.1325,39.01,3929739
GCO,True,-6.9071,2.6917,35.53,162286
GIS,True,-1.6574,2.0786,54.38,2444351
GEL,True,-3.6934,2.0373,20.32,287518
GWR,True,-0.1461,0.2835,109.72,532861
GNE,False,-28.7992,4.63,7.56,141906
GPC,True,-2.6668,2.04,91.12,430132
GEO,True,-3.5942,4.5802,18.02,429792
GPRK,False,-4.4118,3.3714,16.58,87490
GNW,False,-3.7037,13.68,4.46,1150393
GIG,False,-0.8596,0.5775,10.38,0
GPJA,False,-1.6272,0.5372,25.74,5576
GGB,False,-4.6512,4.3344,3.3,2823713
GTY,False,-2.5325,1.4483,30.03,60050
G,True,-4.2282,8.3506,41.0,440433
GIL,True,-2.6391,1.68,37.46,209091
GKOS,True,-11.7237,3.5497,62.03,217853
GLT,False,-3.9828,2.7278,14.08,117818
GSK,True,-1.6809,1.01,40.65,1300000
CO,False,-5.3819,3.5055,5.67,3936
GMRE,False,-1.7127,2.027,10.69,134793
GNL,True,-1.9417,2.7068,19.59,292811
GSL,False,-7.6433,4.1114,7.03,4476
GLP,False,-1.7387,1.1529,19.84,33329
GLOB,True,-4.4282,4.257,105.41,198308
GMED,True,-1.8164,7.9974,48.84,271472
GMS,True,-3.4164,4.9325,22.39,235481
GNC,False,-7.9787,11.5385,1.74,841345
GPN,True,-4.8922,2.6069,158.79,941123
GFI,False,-10.1423,6.9725,5.73,3618056
GDDY,True,-7.4553,2.6519,64.05,835304
GSBD,False,-2.8183,1.9161,19.81,62934
GS,True,-3.875,2.5374,204.11,1372767
GOL,True,-6.9927,5.5118,19.27,633810
GER,False,-3.7037,2.6119,4.84,108863
GRC,False,-3.5404,3.6255,31.39,15925
GPX,False,-7.7456,3.0534,13.07,15332
EAF,True,-4.0564,5.4872,11.09,628023
GRAF,False,-0.4975,0.5025,10.05,0
GMZ,False,-2.834,2.64,7.19,76526
GHM,False,-5.9507,5.5556,19.93,9611
GGG,True,-5.5078,2.4533,46.41,230374
GHC,False,-3.265,1.6639,713.21,10503
GRAM,False,-3.6667,3.0928,2.61,4783
GPMT,True,-1.2848,0.9135,18.46,172210
GPK,True,-4.4065,5.9733,13.21,2421894
GTN.A,False,-8.1174,5.3531,14.85,0
GVA,True,-17.9447,3.6419,28.15,274007
AJXA,False,-0.9709,1.3587,26.29,2494
AJX,False,-1.0838,2.7677,14.82,15177
GWB,True,-5.3814,2.6148,30.53,171444
GDOT,True,-41.9805,8.7527,29.22,317434
GTN,True,-4.9576,3.7188,14.91,409482
GBX,True,-5.8044,3.7373,24.32,289657
GHL,True,-21.9277,10.9851,14.47,187809
GHG,False,-5.1982,2.2031,10.57,8629
GEF,False,-3.308,3.439,33.77,123791
GPI,False,-3.8201,2.8558,82.85,105790
GFF,False,-4.893,21.0289,18.58,70258
GRUB,True,-12.2915,6.8194,65.49,971685
PAC,False,-3.1802,3.5818,94.0,18924
GEF.B,False,-2.0814,2.7473,41.87,2909
AVAL,False,-4.3302,2.16,7.4,23651
SUPV,False,-58.7467,9.71,3.5,506935
ASR,False,-3.7152,2.4617,143.24,36272
GSAH,False,-0.6829,0.4912,10.23,16
TV,False,-6.59,3.8505,8.28,1216018
GTT,False,-46.3436,20.8644,9.1,361215
GSH,False,-3.4173,2.619,16.0,12745
GGM,False,-0.5806,0.9838,20.42,14249
GPM,False,-2.6382,2.7097,7.95,67841
GES,True,-7.0,4.2486,15.44,815764
GOF,False,-1.5996,2.4186,20.55,65638
GBAB,False,-1.4956,1.0771,24.42,23803
GWRE,True,-4.7347,2.9052,95.99,293154
HRB,True,-2.8031,2.48,27.78,1349728
HAE,True,-3.6355,12.0178,137.37,177923
HNGR,False,-5.3907,20.4225,20.18,125752
FUL,True,-3.493,3.1867,44.16,184818
HK,False,-72.54,-5.0,0.0925,1714691
HAL,True,-5.8261,9.1494,19.48,6551526
HBI,True,-6.4636,2.2222,14.57,2329034
HBB,False,-15.1127,6.2969,14.35,21207
HOG,True,-4.8843,6.4177,33.79,806478
HMY,False,-7.5758,7.7869,2.87,5091953
HASI,True,-2.2909,2.5558,27.36,179448
HSC,True,-10.5286,3.73,17.98,266400
HGH,False,-0.4515,0.72,29.06,22310
HVT.A,False,0.0,3.8375,18.4,0
HHS,False,-7.94,24.3446,3.15,23
HE,True,-2.3445,2.2469,44.31,241467
HIG,True,-1.6006,1.8741,58.9,1197827
HCHC,False,-4.3689,12.4402,2.23,79904
HCA,True,-9.1407,2.2485,127.9,1042580
HCI,False,-1.9521,2.19,42.07,18235
HVT,False,-3.1551,5.8693,19.52,61849
HCP,True,-1.3378,2.8371,33.62,1358939
HTA,True,-2.091,2.0461,27.7,697500
HL,False,-16.5,6.3492,1.54,5368387
HDB,True,-4.7503,2.1473,111.1,389319
HR,True,-1.9018,2.0769,33.04,319651
HLX,False,-7.8947,4.1892,7.48,727162
HEI.A,False,-2.5294,5.2775,109.55,79159
HP,True,-5.5757,3.5415,40.49,956226
HLF,True,-6.7713,3.1297,36.99,1269268
HEI,True,-2.9466,5.4603,142.01,237701
HT,True,-8.0636,3.3723,15.0,190556
HCXY,False,-2.2325,2.0825,25.7,0
HTGC,True,-2.3538,3.4965,12.81,275257
HCXZ,False,-0.8621,1.3917,25.6,378
HRI,False,-6.8281,3.8023,40.47,126477
HSY,True,-1.9657,2.1774,155.36,584406
HRTG,False,-4.4572,3.9611,14.49,44693
HES,True,-5.0525,4.5806,62.02,1710811
HPE,True,-6.1528,3.7519,13.4,5362869
HESM,False,-4.0127,2.1825,18.42,19589
HTZ,True,-8.3564,7.0845,13.38,2696868
HXL,True,-3.4599,3.8213,81.43,271950
HFRO,False,-1.2048,1.5602,13.07,46860
HPR,False,-15.2,10.0,1.23,553937
HIW,True,-2.8559,3.3069,43.84,175730
HIL,False,-4.7619,2.5397,3.18,20020
HI,True,-4.6601,2.1959,28.13,451036
HTH,True,-1.6314,4.2632,22.26,343744
HRC,False,-3.7421,3.5179,107.28,153281
HLT,True,-2.726,2.5375,95.26,984350
PCF,False,-1.2926,1.5719,8.39,6209
HNI,False,-4.265,2.9439,31.31,107654
HGV,True,-13.945,3.1854,26.77,728778
HMLP,False,-3.3333,2.4526,16.42,55677
HEP,False,-3.5654,3.2148,27.76,57957
HFC,True,-4.8589,4.8624,47.0,1177532
HD,True,-3.3985,1.8835,208.33,1910791
HON,True,-3.5712,2.2156,167.98,1417064
HMN,False,-2.7413,5.7576,43.95,85839
HTFA,False,-0.2585,0.549,25.64,0
HZN,False,-26.7416,14.2132,3.15,59034
HRL,True,-1.7983,2.1766,41.79,1256551
HMC,True,-1.7378,1.3148,23.71,327202
HLI,True,-3.0856,5.498,43.06,170373
HHC,False,-2.9936,4.2325,130.08,127817
HPQ,True,-4.8659,3.07,19.54,4525797
HST,True,-2.7534,2.1752,16.5,2449647
HOV,False,-10.4777,20.1031,5.68,83089
HSBC,True,-3.4807,0.8686,37.01,926618
HOS,False,-21.5054,22.7671,0.75,39423
HNP,False,-4.7083,2.5472,22.39,14045
HMI,False,-6.1372,14.355,10.92,140816
HUBB,False,-3.3068,4.9852,127.26,153371
HUBS,True,-4.3885,13.2549,192.74,244771
HUD,False,-4.8689,4.16,12.02,84039
HUM,True,-2.4666,4.2985,304.87,578940
HII,False,-5.8213,2.2906,203.74,150805
HBM,False,-21.4433,3.8043,3.48,483303
HPP,True,-2.9241,2.148,33.48,594219
HCFT,False,-1.7964,1.5198,3.26,10877
HUYA,True,-7.3225,4.9463,21.33,805991
H,True,-2.8995,2.1,75.59,311377
IAG,False,-13.6816,6.3361,3.33,4197839
IBN,True,-4.1061,6.0708,11.56,2556098
HY,False,-10.7212,11.6447,57.47,50851
IDA,True,-1.3056,1.9975,105.15,170734
HUN,True,-5.475,16.9677,19.9,1914032
ITW,True,-3.29,3.2978,151.88,966338
ICD,False,-15.1515,8.0357,1.12,81765
IMAX,False,-3.2093,2.955,21.37,136063
IHC,False,-3.6305,3.2751,38.28,1632
IEX,True,-3.8844,2.5297,164.67,338706
IDT,False,-7.8996,4.4221,8.74,49422
IRT,True,-2.1522,5.3441,13.17,345629
IFN,False,-2.0619,2.7514,20.18,27613
INFY,True,-1.6245,1.4545,11.06,4230138
ING,True,-4.955,2.27,9.7,1287073
IBA,False,-3.4419,3.8156,52.74,895
ISG,False,-0.9909,0.4594,26.0,13242
NGVT,True,-9.0608,2.5772,81.49,216893
IIPR,True,-8.9881,7.26,107.41,280389
INGR,True,-2.8815,4.619,76.12,288922
IR,True,-2.3825,3.5837,120.22,925596
IPHI,True,-3.2926,5.5611,63.75,617483
NSP,True,-24.7113,3.9083,95.62,291899
INSP,False,-3.5149,5.7791,66.05,87623
IBP,False,-3.9705,3.9772,56.66,76874
ITGR,False,-5.4468,2.3804,80.02,93415
INST,True,-3.0405,1.9742,40.18,175259
I,True,-6.6038,4.0249,20.66,609876
INSI,False,-0.8492,0.9036,19.75,6235
IHG,False,-3.6485,1.431,65.18,42689
IBM,True,-4.4075,1.4031,135.79,2075528
IFF,True,-15.9468,2.2202,118.71,447922
IGT,True,-4.4267,5.7678,13.06,1154961
INSW,False,-4.065,2.7379,16.21,110679
IP,True,-4.6037,4.2384,40.05,1843720
ICE,True,-2.4655,2.4316,92.01,1382820
IPG,True,-2.9232,1.8984,20.81,1875682
IPI,False,-8.169,5.4131,3.25,340869
VCV,False,-0.6149,0.7746,13.12,32988
IVC,False,-14.5492,34.7722,5.67,118706
VTA,False,-0.9874,0.5445,10.9,139475
VLT,False,-0.8964,0.3756,14.25,1893
INXN,True,-2.0311,2.7867,77.67,229254
VBF,False,-1.6837,1.5676,19.06,12376
IHIT,False,-0.5725,1.0536,10.46,10649
IHTA,False,-0.9709,1.0795,10.32,3248
VMO,False,-0.47,0.8828,12.82,112495
OIA,False,-0.64,0.5161,7.87,30371
IVR,True,-2.1381,1.8382,16.36,518695
VPV,False,-1.3314,1.8629,13.57,28367
IVZ,True,-6.0969,1.9827,16.16,3824691
VTN,False,-0.6555,0.9524,13.76,9237
VGM,False,-0.76,0.6875,13.13,69305
VVR,False,-0.96,0.4751,4.16,179758
VKQ,False,-0.3879,0.7149,12.75,60906
IQI,False,-0.6961,1.1015,12.78,84817
IIM,False,-0.58,0.5913,15.42,49990
NVTA,True,-6.5075,7.5472,26.27,1392082
INVH,True,-1.9877,0.9587,27.87,1952061
IO,False,-9.9298,7.1429,7.28,84764
IQV,True,-3.3613,2.456,157.08,657334
IRET,False,-2.722,5.8588,67.54,28961
ICL,False,-3.46,2.2556,5.2,35415
IRS,False,-37.3031,8.0851,6.7,27261
IRM,True,-2.05,4.8283,30.98,1249308
ITCB,False,-4.2429,2.4688,11.54,120
ITUB,False,-4.4229,3.4792,9.0,11617287
ITT,True,-3.9987,3.1524,55.93,225560
IVH,False,-1.087,0.8843,13.71,34680
JPM,True,-2.9753,1.829,109.34,7121146
JAX,False,-4.0262,4.0,11.35,13969
JILL,False,-10.101,2.3923,1.83,155576
SJM,True,-1.9073,1.9027,114.0,552206
JAG,False,-10.6267,7.1848,6.51,864095
JHX,False,-4.2678,12.5662,15.34,6621
JEC,True,-3.4342,3.9136,83.89,439008
JHG,True,-9.5131,2.7763,18.48,563731
JOF,False,-2.7059,0.6,8.36,2347
JBGS,True,-2.0445,2.1659,38.56,238125
JBL,True,-4.2896,2.96,28.75,345942
JEF,True,-4.4621,2.5428,19.02,727129
JCP,False,-13.5427,9.1009,0.5995,4721041
JT,False,-3.8462,6.0,3.55,174170
JKS,True,-6.4824,5.3883,19.6,298909
JCAP,False,-3.9806,2.2177,19.62,88232
JMP,False,-2.6455,3.7062,3.68,5721
JMPB,False,-0.31,0.6493,25.59,0
JELD,True,-8.7675,3.8146,17.93,199453
JBT,False,-5.8571,2.9426,103.16,78290
JMPD,False,-2.2715,1.2744,25.8,370
HEQ,False,-1.8598,1.8182,13.86,19548
JHI,False,-1.2956,1.29,17.0,4414
HPI,False,-2.1541,1.33,24.07,27674
BTO,False,-3.8498,1.6383,30.53,31174
HPF,False,-1.6942,0.8243,23.04,16359
JHS,False,-0.8,0.8202,14.54,5840
PDT,False,-2.0785,1.1098,17.07,34283
HTY,False,-1.9202,1.0542,6.69,12589
JW.A,False,-3.1422,2.8179,42.78,137740
HPS,False,-1.3395,0.6189,18.98,20863
JW.B,False,-6.6005,3.0019,42.85,0
JNJ,True,-1.4082,1.7517,133.42,4677327
JCI,True,-1.264,2.835,42.87,2195511
JLL,True,-5.6269,4.4089,139.26,238022
HTD,False,-2.3465,1.6706,25.31,26292
JP,False,-6.599,7.4286,1.87,18659
JE,False,-15.0685,3.8585,3.11,154496
JNPR,True,-3.0443,1.37,25.46,2023278
LRN,False,-4.4631,5.2419,27.94,98739
KAI,False,-7.233,7.3759,83.55,31636
KDMN,False,-6.4885,6.8826,2.53,194793
JMEI,False,-6.6079,5.2632,1.96,58395
KAMN,False,-5.3628,3.3339,57.76,65728
KSU,True,-4.4637,2.49,119.95,507810
KAR,True,-6.3846,3.2046,24.92,1059502
KMF,False,-3.4732,1.4299,10.58,75657
KBR,True,-4.8522,3.46,25.72,737608
KBH,True,-3.5963,3.5253,27.2,779352
FRAC,False,-9.062,23.8,5.31,853002
K,True,-2.6025,9.2923,62.7,1685769
KYN,True,-2.6334,1.8638,14.27,263890
KEM,True,-8.1006,5.7654,19.23,543850
KB,False,-4.938,1.6918,31.83,57866
KMPR,True,-10.9965,2.8113,78.37,173605
KW,False,-4.962,4.1357,21.18,150186
KEN,False,-1.6519,2.5,21.57,110
KDP,True,-1.6157,5.1431,28.47,1295821
KEY,True,-5.7158,3.4542,16.45,5580165
KEG,False,-11.1475,9.507,1.6,79505
KMT,True,-6.0633,3.863,29.43,383493
KRC,True,-1.509,2.1163,77.29,268695
KRP,False,-7.6467,4.9819,14.58,22663
KMB,True,-1.9161,1.7704,139.42,850690
KEYS,True,-5.1759,5.5531,88.47,572361
KMI,True,-2.6962,2.003,20.51,8897258
KFS,False,-2.287,2.7127,2.79,30
KIM,True,-1.6264,2.6982,18.9,2446967
KGC,False,-5.8548,11.194,4.86,6686416
KEX,True,-6.7893,5.2145,73.9,329433
KL,True,-9.5905,8.1618,45.77,766699
KKR,True,-3.9626,3.9777,25.03,1652551
KIO,False,-1.0773,0.6349,15.63,38492
KREF,False,-2.8183,1.45,19.31,123846
KNX,True,-5.5292,4.0081,33.82,1700983
KRG,True,-4.2226,2.4278,15.24,222796
KNL,False,-4.5015,5.2856,23.07,116919
KSS,True,-7.8166,2.84,50.67,2835698
KNOP,False,-3.1312,0.4995,18.39,56592
PHG,True,-2.4029,6.1365,46.57,312221
KOP,False,-4.1365,17.1764,28.92,34230
KEP,False,-4.1773,4.3478,10.5,113534
KN,True,-3.1536,8.1363,19.87,290998
KFY,True,-2.8668,4.1147,38.87,196651
KF,False,-3.6939,1.1284,25.54,344
KT,True,-3.0675,0.72,11.07,343286
KR,True,-3.8266,7.2711,23.05,6599663
KOS,False,-3.9182,6.6318,6.48,2255733
KRA,False,-5.4462,4.032,27.78,94646
KRO,False,-6.6998,1.9868,10.79,133719
SCX,False,-4.1534,4.1597,5.75,3175
LH,True,-3.5542,2.219,166.2,422065
LAIX,False,-6.5217,2.7168,8.66,2555
LW,True,-5.7726,3.0359,67.3,475067
LB,True,-6.3198,2.73,22.67,2327511
LADR,True,-3.4665,1.7651,16.82,368206
LCI,False,-19.4774,40.8027,6.77,279251
LTM,False,-5.5315,6.0364,9.35,146572
LOR,False,-2.8659,0.9434,9.48,4937
LAZ,True,-5.1666,4.0231,33.24,239330
LEAF,False,-17.6056,5.2061,4.81,19970
LCII,False,-4.756,3.8012,89.9,88875
LEA,True,-3.865,2.5466,113.81,424698
LPI,False,-8.1851,15.5894,2.85,5006136
LZB,True,-3.5415,2.22,32.41,180129
LVS,True,-4.1315,2.52,53.62,2749415
LEE,False,-4.7847,7.8049,2.26,62028
LGI,False,-2.5545,2.8846,15.61,5274
LGC,False,-0.295,0.1976,10.16,0
LMHB,False,-0.9368,0.7828,25.63,19018
LEG,True,-2.7521,3.3864,38.77,845340
LMHA,False,-1.2934,0.96,27.03,1899
LM,True,-2.712,3.5995,37.24,440225
KTH,False,-2.6355,3.634,31.78,75
KTN,False,-1.2116,1.8914,32.9,0
KTP,False,-2.4113,4.0625,6.48,4764
LDOS,True,-3.5182,4.1331,84.27,690552
LEJU,False,-11.2,6.6462,1.06,5
LC,True,-5.5154,14.0,14.45,484618
LEN,True,-1.8163,3.4654,50.28,2215512
LHC,False,-7.8,10.6291,10.2,27315
LII,True,-5.3424,1.5935,254.49,184151
LEN.B,False,-2.1883,3.5472,39.87,22202
LXP,True,-2.7055,3.854,10.29,746374
LPL,False,-6.1041,3.9052,5.3,174109
USA,False,-3.7651,1.3223,6.17,368861
ASG,False,-3.7459,2.8169,5.81,87225
LSI,True,-1.73,1.5956,101.0,160541
LPT,True,-2.8304,2.3653,51.54,423991
LITB,False,-1.3793,2.7586,1.45,1603
LNC,True,-8.4481,3.2671,54.48,922140
LN,False,-1.9723,6.5591,32.97,30674
LNN,False,-3.5076,3.0678,89.02,45585
LBRT,True,-6.1271,7.2252,11.88,396982
LIN,True,-2.6565,1.5915,192.9,653431
LGF.B,True,-5.6281,5.8413,11.51,304765
LAC,False,-3.0471,3.6827,3.57,62422
LAD,False,-2.7349,12.7611,131.54,134292
LTHM,False,-10.686,19.8582,6.51,717386
LGF.A,True,-6.226,6.8369,12.28,517297
RAMP,True,-7.1922,4.5652,46.36,305856
LYG,False,-3.0189,1.2448,2.32,2399905
LYV,True,-3.1819,2.3423,71.36,659767
LMT,True,-1.0437,3.1023,377.22,659196
SCD,False,-1.3778,2.9873,13.56,27240
LOMA,False,-56.1335,10.7481,6.0,117430
LPX,True,-6.9299,3.41,22.86,918463
LOW,True,-2.5063,2.1244,96.58,2882354
L,True,-3.4089,2.0949,50.43,483569
LXU,False,-3.6,29.2191,4.93,60196
LKSD,False,-34.1954,21.0851,1.25,463821
WLH,True,-5.99,4.5921,17.94,232109
LDL,False,-5.339,16.0846,20.25,48251
LYB,True,-6.5652,3.54,75.61,1626624
LL,False,-9.9515,9.1644,8.34,952060
LTC,False,-2.2472,1.6646,47.96,117602
LXFR,False,-7.8204,3.9698,16.76,85998
LUB,False,-3.6725,3.4783,1.16,1127
MTB,True,-5.1689,1.5073,151.32,488932
MDC,False,-4.1379,3.0055,36.35,137967
MAC,True,-3.46,2.4977,30.44,921482
CLI,True,-3.5974,2.773,22.3,195496
MGU,False,-1.5398,1.154,23.37,14222
MFD,False,-3.428,1.4,9.99,13608
MIC,True,-4.6815,2.264,38.04,312085
MHO,False,-2.7894,10.1314,36.07,139051
BMA,True,-52.6674,10.5842,37.28,264389
M,True,-6.6872,2.8761,19.36,5136053
MGA,True,-3.7088,3.4298,49.89,520929
MX,False,-6.7603,6.2378,10.02,159581
MGY,True,-7.3345,5.4717,10.13,978201
MCN,False,-2.1505,1.4063,6.39,19827
MHLA,False,-2.8605,6.3961,17.67,2012
MMP,True,-1.4242,1.23,65.81,388167
MAIN,False,-4.1032,2.4694,42.44,128537
MHNC,False,-1.31,3.1818,22.2,1334
MANU,False,-2.0145,3.6131,17.6,15218
MNK,False,-13.6585,9.0426,4.85,1976380
MTW,True,-7.231,4.5482,16.03,169892
MMD,False,-0.8084,0.9219,20.8,29543
MN,False,-4.9724,7.5949,1.7,17714
MAN,True,-2.4222,3.5319,87.91,181462
MRO,True,-5.8735,6.722,12.95,7039968
MFC,True,-3.3186,2.3058,16.9,785625
